subject_ID,age_in_years,age_in_months,gender,gender_coded,age_group,age_group_coded,trial_number,answerL,answerR,confidenceL,confidenceR,condition,combination,RT_answerL,RT_answerR,RT_confidenceL,RT_confidenceR,items_countL,items_countR,uncertainty_level_L,uncertainty_level_R,n_fish_L,n_fish_R,n_cans_L,n_cans_R,q1,q2,q3,q4,q5,percent_comprehension
7510240,4,48,Female,2,5-Apr,0,1,0,0,6,6,trial_8,1,6964.4,8849.3,4189.2,4189.2,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":2,""Seaweed"":0}","{""FishSmall"":3,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}",0,2,0,3,6,1,2,2,2,2,0,0.8
7510240,4,48,Female,2,5-Apr,0,2,1,0,6,6,trial_6,1,8184.5,9341.6,2669.8,2669.8,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":3,""Seaweed"":1}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}",1,4,0,1,5,1,2,2,2,2,0,0.8
7510240,4,48,Female,2,5-Apr,0,3,1,1,6,6,trial_9,1,6198.3,5285.4,2084.9,2084.9,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":3}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":2,""Seaweed"":2}",3,2,0,0,3,4,2,2,2,2,0,0.8
7510240,4,48,Female,2,5-Apr,0,4,0,0,6,6,trial_5,0,4142.9,4614.6,3916.7,3916.7,"{""FishSmall"":4,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}",0,3,6,3,0,0,2,2,2,2,0,0.8
7510240,4,48,Female,2,5-Apr,0,5,1,0,6,6,trial_7,1,1705.5,3670.5,2652.7,2652.7,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":2}","{""FishSmall"":4,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",2,0,1,5,3,1,2,2,2,2,0,0.8
7510240,4,48,Female,2,5-Apr,0,6,0,1,6,6,trial_4,0,2989.3,4186.8,2710.2,2710.2,"{""FishSmall"":4,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":3}",1,3,4,1,1,2,2,2,2,2,0,0.8
7510240,4,48,Female,2,5-Apr,0,7,0,1,6,6,trial_2,1,11268.5,1789.2,2510,2510,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":2,""Seaweed"":0}",4,0,1,0,1,6,2,2,2,2,0,0.8
7510240,4,48,Female,2,5-Apr,0,8,1,0,6,6,trial_1,0,5709.3,3078.7,2422.1,2422.1,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}","{""FishSmall"":4,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",4,0,1,5,1,1,2,2,2,2,0,0.8
7510240,4,48,Female,2,5-Apr,0,9,1,0,6,6,trial_10,0,4301,2690.9,1997,1997,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":4,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}",2,1,1,5,3,0,2,2,2,2,0,0.8
7510240,4,48,Female,2,5-Apr,0,10,1,1,6,6,trial_3,1,3933,4393.9,1468.3,1468.3,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":1}",4,1,1,2,1,3,2,2,2,2,0,0.8
7510713,5,60,Female,2,5-Apr,0,1,1,1,6,6,trial_9,0,22684.5,13760.5,5627.3,5627.3,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":2,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":3}",2,3,0,0,4,3,2,2,2,2,2,1
7510713,5,60,Female,2,5-Apr,0,2,0,0,6,6,trial_4,1,10194.6,9099.7,5277.6,5277.6,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":3}","{""FishSmall"":4,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}",3,1,1,4,2,1,2,2,2,2,2,1
7510713,5,60,Female,2,5-Apr,0,3,0,0,6,6,trial_7,1,13818.8,14662,6093.2,6093.2,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":2}","{""FishSmall"":4,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",2,0,1,5,3,1,2,2,2,2,2,1
7510713,5,60,Female,2,5-Apr,0,4,0,0,6,6,trial_5,1,12952.8,7746.5,7027.3,7027.3,"{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}","{""FishSmall"":4,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}",3,0,3,6,0,0,2,2,2,2,2,1
7510713,5,60,Female,2,5-Apr,0,5,1,1,4,6,trial_6,0,12751.7,7844.2,10815.1,10815.1,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":3,""Seaweed"":1}",4,1,1,0,1,5,2,2,2,2,2,1
7510713,5,60,Female,2,5-Apr,0,6,1,1,6,6,trial_8,0,8612,7085.2,4894.2,4894.2,"{""FishSmall"":3,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":2,""Seaweed"":0}",2,0,3,0,1,6,2,2,2,2,2,1
7510713,5,60,Female,2,5-Apr,0,7,0,1,6,6,trial_10,1,8712,9300,6927.6,6927.6,"{""FishSmall"":4,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":2}",1,2,5,1,0,3,2,2,2,2,2,1
7510713,5,60,Female,2,5-Apr,0,8,1,0,3,6,trial_3,1,14343.9,8438.2,5545.6,5545.6,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":1}",4,1,1,2,1,3,2,2,2,2,2,1
7510713,5,60,Female,2,5-Apr,0,9,0,0,6,6,trial_1,1,13720.1,22862,5777.7,5777.7,"{""FishSmall"":4,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}",0,4,5,1,1,1,2,2,2,2,2,1
7510713,5,60,Female,2,5-Apr,0,10,0,1,6,6,trial_2,1,9137.5,6860.1,5744.6,5744.6,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":2,""Seaweed"":0}",4,0,1,0,1,6,2,2,2,2,2,1
7522295,4,48,Female,2,5-Apr,0,1,0,0,6,6,trial_10,1,8929.4,15108.4,5690.9,5690.9,"{""FishSmall"":4,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":2}",1,2,5,1,0,3,2,2,2,2,2,1
7522295,4,48,Female,2,5-Apr,0,2,1,0,0,6,trial_1,0,8925.4,11140.4,6934.8,6934.8,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}","{""FishSmall"":4,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",4,0,1,5,1,1,2,2,2,2,2,1
7522295,4,48,Female,2,5-Apr,0,3,1,0,3,6,trial_7,1,14934.1,24603.9,4957.3,4957.3,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":2}","{""FishSmall"":4,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",2,0,1,5,3,1,2,2,2,2,2,1
7522295,4,48,Female,2,5-Apr,0,4,1,1,6,6,trial_2,0,9335.6,7256.2,4075.2,4075.2,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":2,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}",0,4,0,1,6,1,2,2,2,2,2,1
7522295,4,48,Female,2,5-Apr,0,5,0,0,6,6,trial_3,0,6425.3,11597.8,9741.5,9741.5,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}",1,4,2,1,3,1,2,2,2,2,2,1
7522295,4,48,Female,2,5-Apr,0,6,1,1,6,6,trial_9,0,4703.7,10499.4,5613.3,5613.3,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":2,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":3}",2,3,0,0,4,3,2,2,2,2,2,1
7522295,4,48,Female,2,5-Apr,0,7,0,1,6,6,trial_4,0,4849.6,12444.4,3284.5,3284.5,"{""FishSmall"":4,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":3}",1,3,4,1,1,2,2,2,2,2,2,1
7522295,4,48,Female,2,5-Apr,0,8,0,0,6,6,trial_5,0,6948.6,8058.5,4986.3,4986.3,"{""FishSmall"":4,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}",0,3,6,3,0,0,2,2,2,2,2,1
7522295,4,48,Female,2,5-Apr,0,9,1,1,5,6,trial_6,1,5341.6,5464,2650.6,2650.6,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":3,""Seaweed"":1}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}",1,4,0,1,5,1,2,2,2,2,2,1
7522295,4,48,Female,2,5-Apr,0,10,0,1,6,6,trial_8,0,10229.3,5594.8,2734.8,2734.8,"{""FishSmall"":3,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":2,""Seaweed"":0}",2,0,3,0,1,6,2,2,2,2,2,1
7521777,4,48,Female,2,5-Apr,0,1,1,0,6,6,trial_6,1,16595.5,9543.1,4888.4,4888.4,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":3,""Seaweed"":1}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}",1,4,0,1,5,1,2,2,2,2,2,1
7521777,4,48,Female,2,5-Apr,0,2,0,0,6,6,trial_5,0,6382.1,14559.9,4987.2,4987.2,"{""FishSmall"":4,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}",0,3,6,3,0,0,2,2,2,2,2,1
7521777,4,48,Female,2,5-Apr,0,3,1,0,6,6,trial_3,0,24171.2,14855.7,14150.4,14150.4,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}",1,4,2,1,3,1,2,2,2,2,2,1
7521777,4,48,Female,2,5-Apr,0,4,1,0,6,6,trial_2,0,7121.1,8300.7,4196.4,4196.4,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":2,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}",0,4,0,1,6,1,2,2,2,2,2,1
7521777,4,48,Female,2,5-Apr,0,5,1,0,6,6,trial_7,1,29995.5,7345.6,4115.7,4115.7,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":2}","{""FishSmall"":4,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",2,0,1,5,3,1,2,2,2,2,2,1
7521777,4,48,Female,2,5-Apr,0,6,1,0,6,6,trial_10,0,28727.2,9534.9,15172.3,15172.3,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":4,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}",2,1,1,5,3,0,2,2,2,2,2,1
7521777,4,48,Female,2,5-Apr,0,7,1,1,6,6,trial_9,1,35120.9,30367.2,4943.6,4943.6,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":3}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":2,""Seaweed"":2}",3,2,0,0,3,4,2,2,2,2,2,1
7521777,4,48,Female,2,5-Apr,0,8,1,0,6,6,trial_1,0,30281,19311.8,5168.1,5168.1,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}","{""FishSmall"":4,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",4,0,1,5,1,1,2,2,2,2,2,1
7521777,4,48,Female,2,5-Apr,0,9,1,0,6,6,trial_8,1,8343.8,49060.5,7942.9,7942.9,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":2,""Seaweed"":0}","{""FishSmall"":3,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}",0,2,0,3,6,1,2,2,2,2,2,1
7521777,4,48,Female,2,5-Apr,0,10,1,0,4,4,trial_4,0,15259,45062.7,4956.7,4956.7,"{""FishSmall"":4,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":3}",1,3,4,1,1,2,2,2,2,2,2,1
7521942,5,60,Female,2,5-Apr,0,1,1,0,6,6,trial_8,1,5395.3,5588.8,3755.6,3755.6,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":2,""Seaweed"":0}","{""FishSmall"":3,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}",0,2,0,3,6,1,2,2,2,2,0,0.8
7521942,5,60,Female,2,5-Apr,0,2,1,0,5,4,trial_2,0,4769.9,5993.6,3874.7,3874.7,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":2,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}",0,4,0,1,6,1,2,2,2,2,0,0.8
7521942,5,60,Female,2,5-Apr,0,3,0,1,3,3,trial_6,0,4903.9,5227.7,5601.5,5601.5,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":3,""Seaweed"":1}",4,1,1,0,1,5,2,2,2,2,0,0.8
7521942,5,60,Female,2,5-Apr,0,4,0,1,4,3,trial_4,0,3413.9,8170,6186.9,6186.9,"{""FishSmall"":4,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":3}",1,3,4,1,1,2,2,2,2,2,0,0.8
7521942,5,60,Female,2,5-Apr,0,5,0,0,3,2,trial_7,0,2523.5,2020.7,3085.4,3085.4,"{""FishSmall"":4,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":2}",0,2,5,1,1,3,2,2,2,2,0,0.8
7521942,5,60,Female,2,5-Apr,0,6,1,1,3,1,trial_9,1,2550,2590.9,1416.1,1416.1,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":3}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":2,""Seaweed"":2}",3,2,0,0,3,4,2,2,2,2,0,0.8
7521942,5,60,Female,2,5-Apr,0,7,0,0,5,3,trial_10,1,2225.3,1866.7,2133.3,2133.3,"{""FishSmall"":4,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":2}",1,2,5,1,0,3,2,2,2,2,0,0.8
7521942,5,60,Female,2,5-Apr,0,8,0,1,5,2,trial_1,1,2455.1,2183.7,3143.2,3143.2,"{""FishSmall"":4,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}",0,4,5,1,1,1,2,2,2,2,0,0.8
7521942,5,60,Female,2,5-Apr,0,9,0,0,3,6,trial_5,0,3032.3,3697.9,2856.1,2856.1,"{""FishSmall"":4,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}",0,3,6,3,0,0,2,2,2,2,0,0.8
7521942,5,60,Female,2,5-Apr,0,10,0,1,6,4,trial_3,0,3949.9,2720.1,2371.1,2371.1,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}",1,4,2,1,3,1,2,2,2,2,0,0.8
7522066,5,60,Male,1,5-Apr,0,1,0,0,6,6,trial_10,0,18436.9,6682.5,6380.1,6380.1,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":4,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}",2,1,1,5,3,0,2,2,2,2,2,1
7522066,5,60,Male,1,5-Apr,0,2,1,1,6,6,trial_3,1,6563.1,12947.6,5212.5,5212.5,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}","{""FishSmall"":2,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":1}",4,1,1,2,1,3,2,2,2,2,2,1
7522066,5,60,Male,1,5-Apr,0,3,0,1,6,6,trial_8,0,8876.8,11994.5,7668.9,7668.9,"{""FishSmall"":3,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":2,""Seaweed"":0}",2,0,3,0,1,6,2,2,2,2,2,1
7522066,5,60,Male,1,5-Apr,0,4,1,0,0,6,trial_7,1,9424,7069.2,5179,5179,"{""FishSmall"":1,""FishBig"":0,""CanSmall"":2,""CanBig"":1,""Seaweed"":2}","{""FishSmall"":4,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}",2,0,1,5,3,1,2,2,2,2,2,1
7522066,5,60,Male,1,5-Apr,0,5,0,0,6,0,trial_1,1,7464.5,7634.9,126.4,126.4,"{""FishSmall"":4,""FishBig"":1,""CanSmall"":1,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}",0,4,5,1,1,1,2,2,2,2,2,1
7522066,5,60,Male,1,5-Apr,0,6,1,0,6,6,trial_9,1,7750.5,8899,3793,3793,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":1,""CanBig"":2,""Seaweed"":3}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":2,""Seaweed"":2}",3,2,0,0,3,4,2,2,2,2,2,1
7522066,5,60,Male,1,5-Apr,0,7,0,1,5,2,trial_2,1,16011.3,7877.3,167.4,167.4,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":2,""Seaweed"":0}",4,0,1,0,1,6,2,2,2,2,2,1
7522066,5,60,Male,1,5-Apr,0,8,0,1,6,3,trial_4,0,12472.6,8005.6,8817.1,8817.1,"{""FishSmall"":4,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":1,""CanBig"":1,""Seaweed"":3}",1,3,4,1,1,2,2,2,2,2,2,1
7522066,5,60,Male,1,5-Apr,0,9,1,1,6,5,trial_6,1,8052.1,7937.6,6845.4,6845.4,"{""FishSmall"":0,""FishBig"":0,""CanSmall"":2,""CanBig"":3,""Seaweed"":1}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}",1,4,0,1,5,1,2,2,2,2,2,1
7522066,5,60,Male,1,5-Apr,0,10,0,0,6,6,trial_5,0,8682.5,5832.5,4208.7,4208.7,"{""FishSmall"":4,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":0}","{""FishSmall"":1,""FishBig"":2,""CanSmall"":0,""CanBig"":0,""Seaweed"":3}",0,3,6,3,0,0,2,2,2,2,2,1
7522093,4,48,Female,2,5-Apr,0,1,0,1,6,6,trial_2,1,14464.2,6508.4,6841.3,6841.3,"{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":2,""Seaweed"":0}",4,0,1,0,1,6,2,2,2,2,2,1
7522093,4,48,Female,2,5-Apr,0,2,0,1,6,5,trial_8,0,8533.1,10293,4741,4741,"{""FishSmall"":3,""FishBig"":0,""CanSmall"":1,""CanBig"":0,""Seaweed"":2}","{""FishSmall"":0,""FishBig"":0,""CanSmall"":4,""CanBig"":2,""Seaweed"":0}",2,0,3,0,1,6,2,2,2,2,2,1
7522093,4,48,Female,2,5-Apr,0,3,0,0,2,3,trial_10,1,5940,7149.1,4207.1,4207.1,"{""FishSmall"":4,""FishBig"":1,""CanSmall"":0,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":1,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":2}",1,2,5,1,0,3,2,2,2,2,2,1
7522093,4,48,Female,2,5-Apr,0,4,1,0,6,1,trial_3,0,8709.7,10031,11708.9,11708.9,"{""FishSmall"":2,""FishBig"":0,""CanSmall"":3,""CanBig"":0,""Seaweed"":1}","{""FishSmall"":0,""FishBig"":1,""CanSmall"":0,""CanBig"":1,""Seaweed"":4}",1,4,2,1,3,1,2,2,2,2,2,1
